Rk,Team,eFG%,TOV%,ORB%,FT/FGA,Playoffs?
1,Milwaukee Bucks*,55,12,20.8,19.7,1
2,Golden State Warriors*,56.5,12.6,22.5,18.2,1
3,Toronto Raptors*,54.3,12.4,21.9,19.8,1
4,Utah Jazz*,53.8,13.4,22.9,21.7,1
5,Houston Rockets*,54.2,12,22.8,22.1,1
6,Portland Trail Blazers*,52.8,12.1,26.6,21,1
7,Denver Nuggets*,52.7,11.9,26.6,17.5,1
8,Boston Celtics*,53.4,11.5,21.6,17.3,1
9,Oklahoma City Thunder*,51.4,11.7,26,19,1
10,Indiana Pacers*,53,12.4,21.9,18.2,1
11,Philadelphia 76ers*,53.2,12.9,24.5,24.1,1
12,San Antonio Spurs*,53.4,11,21,19.4,1
13,Los Angeles Clippers*,52.9,12.7,22,25.8,1
14,Orlando Magic*,51.8,11.9,22,16.8,1
15,Brooklyn Nets*,52,13,23.8,21.1,1
16,Miami Heat,51.5,13.1,24.8,17.2,0
17,Detroit Pistons*,50.9,12.3,24.8,19.5,1
18,Sacramento Kings,52.4,11.5,23.1,17.7,0
19,Dallas Mavericks,51.9,12.7,22.7,21.6,0
20,Minnesota Timberwolves,51.1,11.4,24.6,21,0
21,New Orleans Pelicans,52.9,12.6,24.1,19.3,0
22,Charlotte Hornets,51.4,10.9,21.7,20.5,0
23,Los Angeles Lakers,52.7,13.4,22.2,18,0
24,Memphis Grizzlies,50.8,12.9,20,21,0
25,Washington Wizards,53.1,12.3,21.3,20.4,0
26,Atlanta Hawks,52.2,14.3,24.7,19.2,0
27,Chicago Bulls,50.5,12.7,19.4,18.4,0
28,Phoenix Suns,51.4,13.8,20.5,20.2,0
29,New York Knicks,49,12.4,22.1,20.5,0
30,Cleveland Cavaliers,50.3,12.2,23.7,18.7,0
